bug_id,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment,page_rank,betweenness,closeness,indegree,outdegree
1063714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1060790,2095.0,3.0,98.0,5.0,0.11,16.64,1217935.02,1.92,124.0,63.0
1061055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1062550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1063494,993.0,4.0,27.0,5.0,0.28,1.45,10883.96,0.97,1.67,12.0
1062277,196.5,4.5,6.5,2.5,0.75,1.76,8.56,1.92,4.0,8.0
1060102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1063653,3203.5,5.0,137.0,4.5,0.17,4.78,241321.82,1.92,19.33,46.33
1063357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1060811,325.0,4.0,11.0,2.0,0.11,1.77,1985.03,1.96,5.0,14.0
1063748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1064128,187.13,2.0,10.5,1.63,0.08,2.17,99895.71,1.35,5.15,6.77
1068571,2752.0,3.0,120.0,4.0,0.38,2.11,218836.11,1.92,9.0,44.0
1067937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074420,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.5,0.0,0.0
1069178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1073415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1072802,1539.0,4.0,65.0,7.0,0.11,1.47,430.94,1.92,2.0,29.0
1068981,2992.0,3.0,179.0,6.0,0.11,5.42,271694.58,1.92,45.0,54.0
1072181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1068178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1068802,1269.6,2.6,65.0,2.8,0.2,7.56,504687.29,1.92,45.14,45.43
1068580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1068559,786.0,1.5,46.5,2.0,0.11,1.5,82309.39,1.92,3.0,42.0
1074009,2992.0,3.0,179.0,6.0,0.11,5.42,271694.58,1.92,45.0,54.0
1073486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1068384,147.0,1.0,10.0,0.0,0.32,1.53,2505.75,1.92,1.0,10.0
1074377,709.0,2.0,56.0,4.0,0.07,1.68,1589.46,1.92,4.0,34.0
1068425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1068268,1229.33,2.33,51.67,2.67,1.01,1.75,119506.72,1.92,6.5,38.0
1066506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1071117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1069857,462.0,4.0,16.0,3.0,0.13,1.55,1345.69,1.92,3.0,29.0
1070703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1072323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1072279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070993,2752.0,3.0,120.0,4.0,0.38,2.11,218836.11,1.92,9.0,44.0
1069962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1073066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1067346,1964.5,3.0,122.0,4.0,0.15,1.39,828.28,1.92,1.0,44.0
1074674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1069552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1073594,1405.0,3.0,56.0,5.0,0.05,8.14,184348.58,1.84,26.0,34.0
1073494,900.5,3.0,20.5,2.5,0.17,1.48,997.38,1.21,1.75,11.75
1070045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1071116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066259,956.4,1.6,43.0,1.6,0.91,5.45,90652.77,1.92,20.6,23.0
1074547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066664,239.67,2.67,11.67,1.67,0.4,1.98,108287.84,1.92,10.67,14.0
