Code churn,Test churn,Prior changes,Average cyclomatic,Number of functions,Comment ratio,Closeness,Betweenness,PageRank,Number of comments,Developer exp.,Reviewer exp.,Review duration,Developer sentiment,Owner sentiment,LOC,Maximum nesting,Comment words,Landing delta,Module number,Response delta,Release delta
78.0,0.0,41.0,5.0,159.0,0.08,1.07,1363324.12,2.43,17,36.0,0.0,0.63,-3,-2,5796.0,4.0,0.0,-1.10263888889,1.0,0.400925925926,14.9775694444
58.0,402.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,56,1.0,0.0,40.62,-4,-2,0.0,0.0,10.67,-5.59119212963,3.0,0.705856481481,2.36653935185
298.0,8.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,33,12.0,6.0,9.0,-4,-2,0.0,0.0,30.45,49.0063078704,3.0,2.70895833333,1.25861111111
63.0,30.0,637.0,4.0,84.67,0.2,1.35,215107.06,3.34,43,210.0,30.0,5.61,-4,-3,2077.0,3.33,5.0,3.53881944444,1.0,0.0685532407407,5.72253472222
18.0,0.0,6.0,4.0,60.0,0.03,1.05,42938.98,1.41,19,0.0,0.0,7.44,-2,-2,952.0,6.0,33.0,0.274340277778,1.0,0.695914351852,1.53921296296
10.0,0.0,213.0,5.0,138.0,0.13,1.64,2309.26,1.28,10,13.0,24.0,0.15,-3,-1,3954.0,6.0,3.0,0.0197916666667,1.0,0.327569444444,24.8496875
188.0,0.0,636.0,4.2,33.6,0.26,1.65,37234.18,1.47,54,1.0,1.0,44.83,-3,0,1046.2,3.0,38.8,-1.2403587963,3.0,0.236319444444,27.1251041667
194.0,277.0,1003.0,3.0,197.0,0.13,1.87,139138.19,18.98,48,75.0,11.0,0.25,-4,0,3586.0,4.0,0.0,3.35289351852,6.0,0.417152777778,6.40378472222
204.0,0.0,6699.0,0.0,0.0,0.0,0.0,0.0,0.0,25,238.0,205.0,0.13,-2,-2,0.0,0.0,0.0,0.0,1.0,2.76273148148,40.3647916667
6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4.0,0.0,1312.1,-2,-2,0.0,0.0,23.0,-0.276655092593,1.0,3.81247685185,10.5874537037
156.0,0.0,275.0,3.0,16.4,0.04,1.21,74485.23,1.39,22,54.0,124.0,2.8,-2,0,355.8,2.2,0.33,1.27545138889,1.0,0.434375,19.9510648148
15.0,0.0,486.0,8.0,49.0,0.08,1.04,1885410.08,17.94,34,89.0,7.0,144.21,-3,0,3128.0,5.0,157.0,-0.467060185185,1.0,0.872280092593,5.3375462963
48.0,0.0,55.0,3.0,26.0,0.26,1.16,33.79,1.38,14,0.0,0.0,263.23,-2,-2,367.0,4.0,43.0,0.300428240741,1.0,0.0571180555556,3.90387731481
57.0,121.0,69.0,9.0,6.0,0.32,1.96,22810.51,1.59,35,34.0,3.0,157.37,-3,-3,375.0,3.0,12.0,0.817361111111,2.0,0.0563888888889,11.4958101852
8.0,8.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,9,15.0,0.0,11.07,-2,0,0.0,0.0,0.0,-0.242835648148,1.0,1.95032407407,7.52103009259
16.0,0.0,10.0,1.0,10.0,2.16,1.69,317208.24,2.78,11,7.0,0.0,0.03,-2,0,271.0,0.0,2.0,-0.552939814815,1.0,1.07744212963,1.42354166667
560.0,622.0,2327.0,0.0,0.0,0.0,0.0,0.0,0.0,92,0.0,2327.0,8.98,-3,-2,0.0,0.0,84.67,5.15021990741,3.0,14.0187268519,1.57451388889
826.0,0.0,1713.0,2.43,21.14,0.31,1.43,379764.59,3.32,45,117.0,23.0,6.14,-4,-2,466.79,1.93,21.67,-2.57755787037,5.0,0.423402777778,1.04061342593
36.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,28,23.0,2.0,10.05,-3,-3,0.0,0.0,1.0,1.62229166667,1.0,0.1234375,17.1427777778
20.0,0.0,447.0,3.0,132.0,0.05,1.79,1282.84,1.44,35,29.0,16.0,12.17,-2,-1,2430.0,7.0,20.75,-9.0968287037,2.0,0.0111342592593,28.5911111111
18.0,0.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,46,35.0,44.0,37.21,-4,-3,0.0,0.0,0.0,0.0,1.0,0.125474537037,0.530289351852
10.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,7,34.0,0.0,0.25,-2,-2,0.0,0.0,18.0,1.92234953704,1.0,0.201238425926,11.9592708333
46.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,6,48.0,3.0,0.3,-2,-2,0.0,0.0,0.0,1.92493055556,1.0,0.180543981481,11.9568055556
11.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,2.0,14.79,-2,0,0.0,0.0,5.0,0.00626157407407,1.0,2.63349537037,5.42417824074
47.0,24.0,274.0,4.0,29.0,0.19,1.74,46721.29,1.56,31,52.0,0.0,0.57,-3,-1,856.0,5.0,0.0,-1.0969212963,1.0,0.327638888889,33.0077662037
10.0,0.0,33.0,4.0,20.0,0.28,1.1,0.0,1.25,13,1.0,2.0,59.15,-2,-1,778.0,6.0,27.0,-0.780474537037,1.0,0.929016203704,13.5113194444
106.0,0.0,313.0,3.33,79.33,0.02,1.69,309215.98,21.42,49,6.0,15.0,19.34,-3,0,2124.67,2.33,10.86,13.3835532407,3.0,1.64712962963,1.48440972222
49.0,0.0,233.0,2.0,47.0,0.67,1.5,1834090.09,31.35,9,111.0,2.0,5.26,-2,-2,1316.0,2.25,0.0,1.0421412037,1.0,0.06,1.43556712963
57.0,0.0,13.0,0.0,0.0,0.0,0.49,0.0,1.34,23,2.0,1.0,5.65,-4,-2,0.0,0.0,107.0,0.0477314814815,2.0,0.214849537037,6.18175925926
12.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1.0,6.0,98.74,-2,0,0.0,0.0,0.0,0.804849537037,1.0,3.29282407407,0.643009259259
242.0,0.0,47.0,0.0,0.0,0.0,0.49,0.0,1.34,41,0.0,0.0,143.18,-4,-4,0.0,0.0,0.0,-0.227928240741,1.0,0.0,26.4665162037
15.0,0.0,151.0,3.0,82.0,0.16,1.66,3132727.22,62.17,36,10.0,0.0,0.1,-3,-1,1629.0,4.0,1.0,14.0365277778,1.0,0.151145833333,4.60515046296
11.0,0.0,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,13,7.0,10.0,33.87,-2,-1,0.0,0.0,42.0,-3.06638888889,1.0,1.31521990741,0.70400462963
