bug1,bug2,,title1,title2
https://bugzilla.mozilla.org/show_bug.cgi?id=1146213,https://bugzilla.mozilla.org/show_bug.cgi?id=1295035,n,Crash [@ js::NativeObject::setSlot] with off-thread compilation,Crash [@ Poison] or Crash [@ ??] with off-thread compilation
https://bugzilla.mozilla.org/show_bug.cgi?id=1106115,https://bugzilla.mozilla.org/show_bug.cgi?id=1199997,n,System Timer Resolution locked to 1 ms when using requestAnimationFrame in Firefox,"[TSF] Selected text isn't replaced with composition string when you use MS Pinyin, MS Wubi, MS Changjie and MS Quick on Win8.1 and Win10"
https://bugzilla.mozilla.org/show_bug.cgi?id=1268208,https://bugzilla.mozilla.org/show_bug.cgi?id=1278636,y,Disable predictor prefetch on aurora 48,Disable predictor prefetch on aurora 49
https://bugzilla.mozilla.org/show_bug.cgi?id=1149842,https://bugzilla.mozilla.org/show_bug.cgi?id=1269813,n,Intermittent test_mediarecorder_record_getdata_afterstart.html | application timed out after 330 seconds with no output,"Permanent WinXP/Win8 ""test_bug226361.xhtml | application timed out after 330 seconds with no output"" or ""test_bug1264380.html | Test timed out"" on Ash"
https://bugzilla.mozilla.org/show_bug.cgi?id=1116376,https://bugzilla.mozilla.org/show_bug.cgi?id=1269813,n,Intermittent jsreftest.html?test=js1_5/Regress/regress-360969-05.js | application timed out after 330 seconds with no output,"Permanent WinXP/Win8 ""test_bug226361.xhtml | application timed out after 330 seconds with no output"" or ""test_bug1264380.html | Test timed out"" on Ash"
https://bugzilla.mozilla.org/show_bug.cgi?id=1217586,https://bugzilla.mozilla.org/show_bug.cgi?id=1227116,,"[e10s] Right-clicking, Cmd+Clicking doesn't work on links in inline SVG",[e10s] Cmd+click is not working on links in inline SVG
https://bugzilla.mozilla.org/show_bug.cgi?id=1165303,https://bugzilla.mozilla.org/show_bug.cgi?id=1179395,,[tablet mode] Switching tabs when Windows is in tablet mode causes Firefox to disappear,[tablet mode] Launching Firefox from the tablet mode start screen hides the window on startup
https://bugzilla.mozilla.org/show_bug.cgi?id=1076910,https://bugzilla.mozilla.org/show_bug.cgi?id=1187464,n,"crash in gfxUtils::EncodeSourceSurface(mozilla::gfx::SourceSurface*, nsACString_internal const&, nsAString_internal const&, gfxUtils::BinaryOrData, _iobuf*)","crash in mozilla::layers::BasicCompositor::DrawQuad(mozilla::gfx::RectTyped<T> const&, mozilla::gfx::RectTyped<T> const&, mozilla::layers::EffectChain const&, float, mozilla::gfx::Matrix4x4 const&)"
https://bugzilla.mozilla.org/show_bug.cgi?id=1076910,https://bugzilla.mozilla.org/show_bug.cgi?id=1187466,n,"crash in gfxUtils::EncodeSourceSurface(mozilla::gfx::SourceSurface*, nsACString_internal const&, nsAString_internal const&, gfxUtils::BinaryOrData, _iobuf*)","[Windows] crash in mozilla::layers::BasicCompositor::DrawQuad(mozilla::gfx::RectTyped<T> const&, mozilla::gfx::RectTyped<T> const&, mozilla::layers::EffectChain const&, float, mozilla::gfx::Matrix4x4 const&)"
https://bugzilla.mozilla.org/show_bug.cgi?id=1076910,https://bugzilla.mozilla.org/show_bug.cgi?id=1182147,n,"crash in gfxUtils::EncodeSourceSurface(mozilla::gfx::SourceSurface*, nsACString_internal const&, nsAString_internal const&, gfxUtils::BinaryOrData, _iobuf*)","crash in mozalloc_abort(char const* const) | NS_DebugBreak | mozilla::layers::BasicCompositor::DrawQuad(mozilla::gfx::RectTyped<T> const&, mozilla::gfx::RectTyped<T> const&, mozilla::layers::EffectChain const&, float, mozilla::gfx::Matrix4x4 const&)"
https://bugzilla.mozilla.org/show_bug.cgi?id=1103163,https://bugzilla.mozilla.org/show_bug.cgi?id=1103194,n,"need to not show ""manage search engines"" dropdown on about:home/about:newtab if browser.search.showOneOffButtons is false","need to adjust ""Manage Search Engines"" string for new about:home/about:newtab dropdown"
https://bugzilla.mozilla.org/show_bug.cgi?id=1181694,https://bugzilla.mozilla.org/show_bug.cgi?id=1187466,n,"crash in mozilla::MediaPipelineFactory::CreateMediaPipelineReceiving(mozilla::JsepTrackPair const&, mozilla::JsepTrack const&, unsigned int, mozilla::RefPtr<T>, mozilla::RefPtr<T>, nsAutoPtr<T>, mozilla::RefPtr<T> const&)","[Windows] crash in mozilla::layers::BasicCompositor::DrawQuad(mozilla::gfx::RectTyped<T> const&, mozilla::gfx::RectTyped<T> const&, mozilla::layers::EffectChain const&, float, mozilla::gfx::Matrix4x4 const&)"
