node,page_rank,betweenness,closeness,indegree,outdegree
gfx/skia/src/svg/SkSVGSymbol,2.801,0.0,3.219,2,6
cutils/sockets,2.285,0.0,0.812,0,0
accessible/src/msaa/nsAccessibleWrap,3.136,4018.827,3.22,4,52
tools/jprof/stub/config,4.281,0.0,3.219,3,0
nsprpub/pr/tests/io_timeout,2.285,0.0,3.22,0,20
gfx/graphite2/src/inc/Code,4.389,34.177,3.219,4,7
toolkit/crashreporter/google-breakpad/src/client/linux/minidump_writer/directory_reader,2.888,1.0,3.219,2,2
mozilla/dom/PStorageChild,2.285,0.0,0.812,0,0
js/src/jsproxy,15.882,917.844,3.22,29,33
dbus/dbus-protocol,2.285,0.0,0.812,0,0
modules/freetype2/include/freetype/ftcache,4.238,7200.876,3.22,9,10
nsprpub/pr/src/md/os2/os2cv,2.285,0.0,3.22,0,11
nsIDOMDesktopNotification,2.285,0.0,0.812,0,0
toolkit/crashreporter/google-breakpad/src/processor/logging,17.48,93157.046,3.22,32,4
content/svg/content/src/nsSVGClipPathElement,2.52,1351.998,3.22,3,21
layout/svg/base/src/nsSVGFilterInstance,2.428,150.765,3.22,3,38
widget/qt/nsIdleServiceQt,2.529,28.531,3.22,2,12
xpfe/appshell/src/nsAppShellService,2.597,1011.792,3.22,2,32
nsIXULSortService,2.285,0.0,0.812,0,0
gfx/skia/src/pipe/SkGPipePriv,2.399,0.0,3.22,2,3
security/nss/lib/util/secdig,5.795,485.377,3.22,12,15
toolkit/components/startup/nsUserInfo,3.082,792.866,3.22,4,1
intl/locale/src/windows/nsWinCharset,2.285,0.0,3.22,0,24
gfx/skia/include/gpu/SkGrTexturePixelRef,2.412,5.784,3.219,2,9
dom/base/nsWrapperCacheInlines,4.2,88.336,3.22,23,3
js/src/ctypes/libffi/testsuite/libffi.call/closure_fn4,2.285,0.0,3.219,0,2
nsprpub/pr/tests/formattm,2.285,0.0,3.22,0,3
tools/reorder/garope,2.285,0.0,3.219,0,5
accessible/src/base/nsARIAMap,17.236,2322.699,3.22,43,14
tools/profiler/libunwind/src/tests/test-ptrace-misc,2.285,0.0,3.22,0,3
netwerk/test/TestStreamPump,2.285,0.0,3.22,0,24
mozilla/dom/indexedDB/IDBCursor,2.285,0.0,0.812,0,0
content/svg/content/src/SVGPathSegUtils,2.912,1376.174,3.22,5,17
nsIResumableChannel,2.285,0.0,0.812,0,0
gfx/skia/src/ports/SkXMLPullParser_expat,2.285,0.0,3.22,0,10
layout/style/nsCSSKeywordList,2.792,0.0,3.219,1,1
intl/uconv/ucvibm/cp857,2.285,0.0,0.812,0,0
nsIDOMToString,2.285,0.0,0.812,0,0
modules/libjar/nsJAR,2.617,1670.436,3.22,4,40
js/xpconnect/public/nsTArrayHelpers,2.31,0.0,3.22,1,12
media/libvpx/vp8/common/g_common,3.393,0.0,3.219,9,0
mozilla/plugins/PPluginIdentifierChild,2.285,0.0,0.812,0,0
gfx/layers/d3d9/ColorLayerD3D9,2.599,5.332,3.22,2,10
initguid,2.285,0.0,0.812,0,0
nsprpub/pr/src/pthreads/ptthread,2.285,0.0,0.812,0,0
AccessibleTable,2.285,0.0,0.812,0,0
media/libvorbis/lib/vorbis_block,2.285,0.0,3.22,0,22
gfx/skia/include/utils/win/SkIStream,3.245,0.0,3.219,2,2
js/src/vm/MatchPairs,4.281,0.0,3.219,4,0
ipc/chromium/src/base/crypto/cssm_init,3.836,373.781,3.219,2,3
layout/style/nsCSSDataBlock,2.88,1902.949,3.22,4,18
gfx/skia/src/core/SkRasterizer,2.65,131.592,3.219,4,12
layout/base/nsCounterManager,2.411,102.363,3.22,2,21
gfx/skia/src/core/SkDraw,6.604,478850.047,3.22,11,71
sys/cfgodm,2.285,0.0,0.812,0,0
widget/qt/nsScreenQt,2.854,102.63,3.22,2,6
layout/forms/nsISelectControlFrame,2.444,0.143,3.22,5,2
widget/gtk2/nsToolkit,3.112,0.0,3.22,3,2
synch,2.285,0.0,0.812,0,0
security/nss/lib/smime/smimemessage,2.285,0.0,3.22,0,10
gfx/graphite2/src/inc/SegCacheStore,3.983,2756.848,3.219,6,8
gfx/angle/src/libGLESv2/VertexDataManager,3.077,9534.773,3.219,3,14
gfx/thebes/gfxFailure,2.528,11.556,3.22,3,3
accessible/src/atk/nsMaiInterfaceDocument,2.709,0.0,3.22,1,15
media/libcubeb/src/cubeb_audiounit,3.257,593.865,3.22,1,2
widget/windows/WinTaskbar,2.712,30844.039,3.22,5,35
gfx/qcms/matrix,53.089,752.181,3.22,63,3
js/src/jsexn,13.926,52450.211,3.22,11,35
usr/include/spawn,2.285,0.0,0.812,0,0
security/nss/lib/softoken/legacydb/pcertt,4.491,317.813,3.22,14,12
gfx/skia/src/utils/SkParseColor,2.574,3.321,3.22,3,8
parser/html/nsHtml5ArrayCopy,3.748,313.834,3.22,10,5
modules/freetype2/src/pfr/pfrcmap,3.175,1.004,3.219,3,6
nestegg/nestegg,2.285,0.0,0.812,0,0
accessible/src/xpcom/xpcAccessibleTable,3.24,21.968,3.22,5,11
sys/param,2.285,0.0,0.812,0,0
ipc/chromium/src/base/json_writer_unittest,2.285,0.0,3.219,0,4
content/base/src/nsGenericElement,24.257,737979.334,3.22,202,136
nsISystemProxySettings,2.285,0.0,0.812,0,0
gfx/skia/src/gpu/GrIndexBuffer,3.701,646.303,3.219,10,2
embedding/browser/webBrowser/nsWebBrowserContentPolicy,2.717,486.468,3.22,2,15
nsIAccessibleCursorable,2.285,0.0,0.812,0,0
layout/style/nsROCSSPrimitiveValue,2.416,1.772,3.22,2,21
modules/freetype2/include/freetype/ftbbox,2.803,44.613,3.219,2,4
parser/expat/expat_config,3.038,3916.207,3.22,3,3
toolkit/mozapps/update/common/pathhash,25.335,0.0,3.219,3,1
other-licenses/7zstub/src/7zip/Bundles/SFXSetup-moz/ExtractCallback,2.493,778.611,3.219,2,25
gfx/skia/src/core/SkString,34.412,34850.475,3.22,88,13
ipc/chromium/src/base/pe_image,22.584,0.0,3.219,3,1
other-licenses/7zstub/src/7zip/Archive/7z/7zIn,3.061,689.972,3.219,5,20
security/manager/ssl/src/nsCMSSecureMessage,2.382,70.172,3.22,2,43
mozilla/_ipdltest/PTestSyncHangChild,2.285,0.0,0.812,0,0
gfx/skia/src/animator/SkAnimatorScript,3.993,326.716,3.22,9,28
media/libvpx/vp8/decoder/x86/idct_blk_mmx,2.285,0.0,3.219,0,3
tools/profiler/libunwind/src/src/x86/Linit_local,2.285,0.0,3.218,0,1
security/nss/lib/crmf/respcmn,2.901,1438.061,3.22,7,22
tools/profiler/libunwind/src/src/x86/is_fpreg,2.285,0.0,3.219,0,1
security/nss/lib/pki/pkistore,3.665,526.866,3.22,8,24
nsprpub/pr/include/prproces,7.015,363.363,3.22,17,4
mfbt/GuardObjects,2.285,0.0,0.812,0,0
nsIFileChannel,2.285,0.0,0.812,0,0
dom/workers/WorkerInlines,3.055,0.0,3.22,6,2
xpcom/glue/nsRefPtrHashtable,7.76,1427.366,3.22,27,6
nsprpub/pr/src/md/windows/ntsec,6.61,246.786,3.22,5,9
sys/dir,2.285,0.0,0.812,0,0
widget/shared/x11/keysym2ucs,16.638,0.0,3.219,2,1
content/xslt/src/xpath/txNameTest,2.635,26.727,3.22,4,10
tools/profiler/libunwind/src/src/arm/Lget_proc_info,2.285,0.0,3.218,0,1
nsIDOMXPathException,2.285,0.0,0.812,0,0
netwerk/base/public/nsURIHashKey,2.969,30.529,3.22,12,7
gfx/skia/src/core/SkBitmap_scroll,2.285,0.0,3.219,0,5
unicode/numfmt,2.285,0.0,0.812,0,0
content/xbl/src/nsBindingManager,6.762,43111.748,3.22,35,65
xpcom/tests/TestStrings,2.285,0.0,3.22,0,18
content/xbl/src/nsXBLContentSink,2.418,6004.985,3.22,3,37
gfx/harfbuzz/src/hb-ot-maxp-table,2.586,0.0,3.22,1,4
content/svg/content/src/nsDOMSVGZoomEvent,2.406,219.636,3.22,2,23
content/html/content/src/nsHTMLUnknownElement,2.319,16.838,3.22,1,13
nsIDOMSVGStyleElement,2.285,0.0,0.812,0,0
layout/xul/base/src/nsTextBoxFrame,2.319,0.0,3.22,1,59
wpcapi,2.285,0.0,0.812,0,0
security/nss/lib/freebl/drbg,2.46,4948.5,3.22,1,23
gfx/angle/src/common/version,3.06,0.0,3.219,2,0
xpcexception,2.285,0.0,0.812,0,0
mozilla/a11y/Role,2.285,0.0,0.812,0,0
widget/gonk/libui/Tokenizer,4.336,0.5,3.219,5,5
nsprpub/pr/include/md/_scoos,2.519,0.0,3.219,1,0
libnotify/notify,2.285,0.0,0.812,0,0
security/nss/lib/smime/cmsmessage,2.692,7459.622,3.22,7,19
dom/indexedDB/IDBTransaction,2.94,48459.388,3.22,10,51
mozilla/dom/ImageData,2.285,0.0,0.812,0,0
content/base/src/nsGenConImageContent,2.313,601.625,3.22,1,16
toolkit/crashreporter/google-breakpad/src/processor/linked_ptr,3.862,0.0,3.219,7,0
ipc/chromium/src/third_party/libevent/select,3.69,53160.398,3.22,1,9
widget/android/AndroidBridge,10.673,447937.737,3.22,38,46
nsICycleCollectorListener,2.285,0.0,0.812,0,0
nsIPhonetic,2.285,0.0,0.812,0,0
nsprpub/pr/tests/freeif,2.285,0.0,3.22,0,3
gfx/skia/src/svg/SkSVGPolygon,2.737,0.0,3.219,2,7
editor/libeditor/base/DeleteRangeTxn,2.436,14.421,3.22,2,22
gfx/skia/src/animator/SkCondensedDebug,2.285,0.0,3.219,0,2
widget/windows/KeyboardLayout,2.565,5.93,3.22,2,9
netwerk/base/src/nsURLHelper,5.167,3100.588,3.22,28,23
security/nss/lib/freebl/loader,3.317,10471.356,3.22,6,24
dom/power/Types,3.351,0.0,3.219,3,1
intl/uconv/ucvlatin/nsISO88593ToUnicode,2.63,0.034,3.22,2,7
nsIIDNService,2.285,0.0,0.812,0,0
intl/lwbrk/src/nsRuleBreaker,2.285,0.0,3.22,0,4
tools/profiler/libunwind/src/src/mips/Linit_remote,2.285,0.0,3.218,0,1
gfx/angle/src/libGLESv2/utilities,6.204,5.438,3.219,11,7
asm/cputable,2.285,0.0,0.812,0,0
gfx/skia/src/gpu/GrBufferAllocPool,3.195,41.175,3.22,5,15
parser/htmlparser/public/nsIParserNode,3.641,310.02,3.22,6,4
nsIRefreshURI,2.285,0.0,0.812,0,0
