bug_id,bug_inducing_commits
795104,c048a86eb289^7736d47f8fab^10237eeb36c4^e080642175e6^e6a683016c73^c872b3e2b25b^cb5d55ec3e5d^6e7fa061e61a
1081154,
881018,670dea9cdb08^ad583c18d336^729f9f0d437f
661099,
757893,
1260820,
663823,
740581,
1107210,
901682,
965472,
1165286,64a60466f0d4^9b2a99adc05e^c240b3f25bb7
1165287,
1000338,
1088043,
1067998,d0187315ef02^b643a867e4d1
875252,
1270707,
1104008,c30b79646349
1059907,
872758,
1251091,0fe67aa7e9ac^3bfa3ac98ba1^e525b3c81bc4^b0f351e99e1a^c96ef32cd8a5^af506098d6b6^59dd9491503a^411f18fdffeb^503c9052d399
823953,7c1a923bea13
842852,afa049904ea6^0372c8ff4b5f^fd824db5b0df^9b2a99adc05e
1113196,ef6cb0f76224^d8dc49d5bd60^c5494ee56c47
714445,
1211615,
1278725,
783241,
992747,
1283724,926b9011f5c2^73c166471592
