,bug_id,max_pos,min_neg,overall,owner_pos,owner_neg,manager_pos,manager_neg
8804,1119921,3,-2,5,1,-2,0,0
8805,1119923,1,-1,0,0,0,0,0
8806,1119926,3,-1,4,2,-1,0,0
8807,1119927,1,-2,-1,0,0,0,0
8808,1121180,2,-3,-1,0,0,0,0
8809,1121182,2,-1,1,0,0,0,0
8810,1121185,3,-3,-1,0,0,0,0
8811,1120283,1,-2,-1,1,-1,0,0
8812,1120282,1,-3,-3,0,0,0,0
8813,1120705,3,-2,-2,0,0,1,-1
8814,1121658,1,-3,-8,1,-3,0,0
8815,1121793,1,-1,0,0,0,0,0
8816,1121497,3,-2,1,0,0,0,0
8817,1121558,2,-1,5,2,-1,0,0
8818,1121554,3,-3,-3,2,-3,0,0
8819,1120996,3,-4,-13,3,-4,0,0
8820,1120993,2,-1,2,0,0,2,-1
8821,1119854,2,-1,3,0,0,0,0
8822,1119288,3,-3,1,3,-1,0,0
8823,1119850,2,-2,1,2,-1,0,0
8824,1122008,3,-3,2,3,-2,1,-1
8825,1119852,2,-3,-3,0,0,0,0
8826,1119280,3,-3,-2,2,-2,1,-1
8827,1120879,2,-2,0,0,0,0,0
8828,1119733,3,-2,2,0,0,0,0
8829,1120499,3,-2,0,0,0,0,0
8830,1121052,2,-2,1,0,0,0,0
8831,1121117,2,-4,61,2,-2,0,0
8832,1121110,2,-1,1,0,0,0,0
8833,1121058,2,-2,0,2,-2,0,0
8834,1121723,3,-3,0,0,0,0,0
8835,1121722,2,-2,2,2,-1,0,0
8836,1120631,3,-2,2,0,0,0,0
8837,1121879,3,-4,-3,3,-4,0,0
8838,1121878,2,-2,0,2,-2,1,-1
8839,1121871,3,-3,-15,0,0,1,-1
8840,1121876,3,-4,2,2,-2,1,-1
8841,1122065,1,-1,0,0,0,0,0
8842,1119604,1,-2,-1,0,0,0,0
8843,1119355,2,-3,-1,0,0,0,0
8844,1122094,2,-2,0,0,0,0,0
8845,1119350,2,-1,1,1,-1,0,0
8846,1121332,3,-4,6,3,-4,1,-1
8847,1119217,4,-2,8,3,-1,0,0
8848,1121331,2,-2,-2,0,0,0,0
8849,1119609,3,-4,-20,3,-4,0,0
8850,1121335,2,-3,-10,0,0,0,0
8851,1119044,2,-1,3,2,-1,0,0
8852,1121706,3,-4,-12,3,-3,1,-1
8853,1120271,3,-4,-3,0,0,2,-2
8854,1122064,3,-4,-22,0,0,1,-1
8855,1120448,2,-2,-2,0,0,0,0
8856,1121317,2,-2,0,0,0,0,0
8857,1119811,1,-2,-1,0,0,0,0
8858,1120529,3,-2,4,0,0,0,0
8859,1121519,2,-2,3,1,-1,0,0
8860,1120839,2,-2,2,2,-2,0,0
8861,1122172,2,-1,1,0,0,0,0
8862,1121700,3,-1,3,0,0,0,0
8863,1121420,2,-2,-1,0,0,0,0
8864,1120117,2,-3,5,1,-3,0,0
8865,1120111,4,-4,16,4,-4,0,0
8866,1119513,2,-2,1,2,-2,0,0
8867,1119516,1,-1,0,0,0,0,0
8868,1119450,3,-2,0,0,0,0,0
8869,1119518,2,-3,-26,0,0,0,0
8870,1121342,3,-3,-13,2,-3,0,0
8871,1119456,3,-4,-20,2,-4,0,0
8872,1121340,3,-3,3,0,0,1,-1
8873,1121970,2,-1,1,1,-1,0,0
8874,1121973,3,-3,2,0,0,0,0
8875,1120609,2,-1,1,0,0,0,0
8876,1121447,3,-2,-1,2,-2,0,0
8877,1119106,3,-3,6,3,-3,0,0
8878,1120741,2,-3,-53,1,-3,0,0
8879,1120747,3,-2,2,1,-1,1,-1
8880,1120748,3,-3,125,0,0,0,0
8881,1120069,3,-3,1,0,0,0,0
8882,1121499,2,-1,4,2,-1,0,0
8883,1120060,2,-2,6,0,0,0,0
8884,1120063,2,-4,-7,0,0,0,0
8885,1120062,3,-3,-2,0,0,0,0
8886,1120065,3,-4,-11,0,0,0,0
8887,1119818,2,-2,0,1,-1,2,-2
8888,1120833,3,-3,6,3,-3,0,0
8889,1119074,3,-3,5,0,0,0,0
8890,1119075,3,-2,3,2,-2,0,0
8891,1119072,3,-4,3,2,-4,0,0
8892,1119778,3,-4,-3,3,-2,1,-1
8893,1119071,1,-1,0,1,-1,0,0
8894,1119810,2,-2,-1,2,-2,0,0
8895,1119774,3,-4,6,1,-1,1,-1
8896,1119776,3,-2,5,1,-2,1,-1
8897,1119770,2,-4,0,1,-1,0,0
8898,1121157,2,-2,-1,1,-2,0,0
8899,1119179,2,-2,1,0,0,0,0
8900,1119149,2,-2,0,2,-1,0,0
8901,1120937,2,-4,-7,2,-4,0,0
8902,1121765,3,-3,2,1,-1,0,0
8903,1121760,2,-2,0,0,0,0,0
8904,1120051,2,-2,1,0,0,0,0
8905,1121768,2,-3,-1,2,-2,0,0
8906,1121314,3,-3,0,3,-3,0,0
8907,1121363,2,-3,-3,0,0,0,0
8908,1119253,1,-1,0,0,0,0,0
8909,1119250,4,-4,-13,3,-4,0,0
8910,1121289,3,-3,-8,0,0,3,-2
8911,1119256,2,-1,1,1,-1,0,0
8912,1119257,1,-1,0,1,-1,0,0
8913,1119254,1,-1,0,1,-1,0,0
8914,1122051,4,-4,-3,3,-3,0,0
8915,1119259,3,-4,0,3,-3,0,0
8916,1122058,3,-3,10,0,0,0,0
8917,1120336,2,-2,-1,2,-2,0,0
8918,1120331,3,-4,-2,3,-3,2,-1
8919,1120339,1,-1,0,1,-1,0,0
8920,1119089,1,-1,0,0,0,0,0
8921,1120487,3,-4,0,1,-1,2,-2
8922,1119082,3,-3,1,2,-2,0,0
8923,1119081,2,-2,-1,2,-2,0,0
8924,1119080,2,-3,-1,1,-1,0,0
8925,1119086,2,-2,1,1,-1,0,0
8926,1121129,3,-3,1,3,-2,1,-1
8927,1120645,1,-3,-2,0,0,0,0
8928,1120649,3,-3,0,2,-3,0,0
8929,1120566,3,-3,-3,0,0,0,0
8930,1121258,3,-2,1,3,-2,1,-1
8931,1121905,3,-4,-8,2,-4,0,0
8932,1122228,2,-4,-3,2,-2,0,0
8933,1119225,1,-2,-1,1,-2,0,0
8934,1119499,1,-2,-1,0,0,0,0
8935,1119220,2,-2,-2,0,0,1,-1
8936,1119497,3,-2,3,0,0,0,0
8937,1119490,3,-3,-9,1,-1,0,0
8938,1119228,3,-3,-2,3,-3,0,0
8939,1120203,3,-2,8,0,0,0,0
8940,1119791,2,-1,1,0,0,0,0
8941,1121265,3,-4,-2,0,0,0,0
8942,1119652,3,-5,-3,3,-3,0,0
8943,1119799,3,-3,0,0,0,0,0
8944,1121603,2,-3,-4,0,0,0,0
8945,1120699,3,-4,1,0,0,0,0
8946,1121835,2,-4,-2,0,0,0,0
8947,1121830,3,-3,0,0,0,0,0
8948,1121791,2,-2,-1,0,0,0,0
8949,1120028,3,-2,0,0,0,0,0
8950,1120141,1,-3,-3,0,0,0,0
8951,1122126,3,-2,3,0,0,0,0
8952,1121256,2,-3,-1,0,0,0,0
8953,1122122,2,-2,-1,0,0,0,0
8954,1119261,1,-1,0,1,-1,0,0
8955,1120023,3,-3,-3,3,-3,1,-2
8956,1120149,2,-3,-2,0,0,0,0
8957,1119423,1,-2,-1,0,0,0,0
8958,1119260,1,-1,0,1,-1,0,0
8959,1121417,3,-4,-2,2,-2,1,-2
8960,1121410,2,-2,4,2,-1,0,0
8961,1121391,2,-1,1,0,0,0,0
8962,1121395,2,-3,-4,0,0,0,0
8963,1119133,3,-3,5,3,-3,0,0
8964,1121194,1,-2,-1,0,0,0,0
8965,1121192,2,-2,0,0,0,0,0
8966,1119033,2,-2,0,1,-1,0,0
8967,1119037,2,-1,5,0,0,0,0
8968,1121198,2,-4,-14,1,-3,0,0
8969,1121528,3,-3,-1,3,-3,0,0
8970,1121481,1,-1,0,0,0,0,0
8971,1121489,1,-2,-1,1,-1,0,0
8972,1120985,2,-3,5,0,0,0,0
8973,1119727,3,-3,-1,0,0,0,0
8974,1120389,2,-3,2,2,-3,1,-1
8975,1119682,3,-3,8,0,0,0,0
8976,1120960,1,-1,0,1,-1,0,0
8977,1119049,3,-4,-2,3,-1,0,0
8978,1120800,2,-2,2,0,0,0,0
8979,1121047,2,-2,-1,0,0,0,0
8980,1120603,2,-2,0,0,0,0,0
8981,1121162,3,-3,-6,0,0,1,-3
8982,1121048,1,-1,0,0,0,0,0
8983,1120608,1,-2,-1,1,-2,0,0
8984,1121738,2,-3,0,2,-3,0,0
8985,1120247,3,-2,0,3,-2,0,0
8986,1119268,1,-1,0,1,-1,0,0
8987,1120241,3,-3,3,3,-2,1,-3
8988,1119263,1,-1,0,1,-1,0,0
8989,1119403,3,-4,-3,0,0,0,0
8990,1119593,3,-4,-2,3,-2,1,-1
8991,1119619,3,-4,3,0,0,1,-1
8992,1119267,1,-1,0,1,-1,0,0
8993,1119266,3,-2,0,2,-2,0,0
8994,1119265,1,-1,0,1,-1,0,0
8995,1119264,1,-1,0,1,-1,0,0
8996,1120360,2,-2,0,1,-1,0,0
8997,1120510,3,-2,0,0,0,0,0
8998,1120512,2,-3,-3,2,-3,0,0
8999,1119292,2,-2,-1,0,0,0,0
9000,1124172,3,-3,-4,2,-3,0,0
9001,1122766,3,-2,2,0,0,0,0
9002,1122761,2,-2,0,2,-1,0,0
9003,1124175,2,-3,-7,2,-3,0,0
9004,1124072,2,-2,-1,0,0,0,0
9005,1124070,3,-4,-6,2,-2,0,0
9006,1124076,3,-2,8,3,-2,0,0
9007,1122605,3,-3,3,2,-3,0,0
9008,1122805,3,-2,-1,0,0,0,0
9009,1124271,2,-2,6,0,0,0,0
9010,1124821,3,-4,-8,2,-1,0,0
9011,1123824,3,-3,-2,3,-3,0,0
9012,1123825,2,-4,-3,0,0,0,0
9013,1125084,3,-3,1,0,0,0,0
9014,1124636,2,-3,0,0,0,0,0
9015,1122286,4,-4,2,3,-2,0,0
