node,page_rank,betweenness,closeness,indegree,outdegree
nsIDOMSVGAnimationElement,2.587,0.0,0.914,0,0
d3d10_1,2.587,0.0,0.914,0,0
nsIMutable,2.587,0.0,0.914,0,0
caps/include/nsPrincipal,2.984,19.5,3.421,4,14
ipc/chromium/src/base/test_file_util,4.068,0.0,3.42,4,1
xpcom/string/public/nsTSubstringTuple,12.339,5874.279,3.421,3,5
nsIObserverService,2.587,0.0,0.914,0,0
usr/include/sched,2.587,0.0,0.914,0,0
nsIIDBVersionChangeRequest,2.587,0.0,0.914,0,0
X11/extensions/Xdamage,2.587,0.0,0.914,0,0
netwerk/base/src/nsFileStreams,2.685,61.469,3.421,2,36
gfx/cairo/cairo/src/cairo-gl-shaders,2.675,0.0,3.42,1,4
dom/ipc/AudioChild,2.685,0.0,3.421,1,3
nsIInputStreamTee,2.587,0.0,0.914,0,0
modules/lib7z/LZMASDK/CPP/Common/IntToString,6.282,78.16,3.419,16,5
editor/libeditor/html/nsHTMLObjectResizer,2.782,14843.753,3.421,3,34
layout/printing/nsPrintEngine,2.763,1823.188,3.421,2,80
nsIWritablePropertyBag2,2.587,0.0,0.914,0,0
nsprpub/pr/src/threads/prcthr,33.417,25067.533,3.421,10,21
nsprpub/config/prdepend,2.587,0.0,0.914,0,0
nsIDOMStorageEventObsolete,2.587,0.0,0.914,0,0
nsprpub/lib/ds/plhash,40.123,32104.773,3.421,45,8
ipc/chromium/src/chrome/common/gfx/color_utils,3.014,0.0,3.42,1,6
modules/freetype2/src/otvalid/otvgpos,4.638,0.4,3.42,5,7
nsIDOMCSSPrimitiveValue,2.587,0.0,0.914,0,0
security/nss/lib/util/utf8,6.368,0.0,3.421,1,3
security/nss/lib/freebl/ecl/ecp_fp160,2.587,0.0,3.42,0,6
jpeg/ckconfig,2.587,0.0,0.914,0,0
gfx/angle/src/libGLESv2/RefCountObject,6.679,0.25,3.42,9,4
modules/freetype2/include/freetype/config/ftconfig,88.957,26234.772,3.42,188,5
gfx/angle/samples/gles2_book/Simple_TextureCubemap/Simple_TextureCubemap,2.587,0.0,3.42,0,9
modules/plugin/sdk/samples/npruntime/npp_gate,3.027,4.5,3.42,1,3
bfd,2.587,0.0,0.914,0,0
content/html/document/src/nsHTMLContentSink,3.18,23949.285,3.421,11,76
nsIAlertsService,2.587,0.0,0.914,0,0
content/base/src/nsStyledElement,7.848,124151.346,3.421,64,25
xpcom/reflect/xptcall/src/md/unix/xptcinvoke_arm_openbsd,2.587,0.0,3.421,0,6
ipc/chromium/src/base/gfx/size,55.68,118.655,3.42,14,5
security/nss/lib/freebl/ecl/ecp_192,2.587,0.0,3.42,0,9
nsICookieAcceptDialog,2.587,0.0,0.914,0,0
content/svg/content/src/SVGAnimatedLengthList,4.396,1594.552,3.421,9,11
nsIScrollable,2.587,0.0,0.914,0,0
accessible/src/xforms/nsXFormsWidgetsAccessible,2.877,0.0,3.421,2,16
gfx/ots/src/prep,17.604,0.0,3.42,2,2
netwerk/cookie/nsCookieService,2.916,1562.157,3.421,2,46
js/src/methodjit/StubCalls,4.024,2084.879,3.42,9,44
nsIProfileUnlocker,2.587,0.0,0.914,0,0
rdf/build/nsRDFCID,5.083,0.0,3.42,27,0
extras,2.587,0.0,0.914,0,0
content/xslt/src/xslt/txEXSLTFunctions,2.855,2767.982,3.421,2,45
sandbox/src/sandbox,2.587,0.0,0.914,0,0
modules/libpr0n/decoders/icon/beos/nsIconChannel,3.227,147.635,3.421,6,31
security/nss/lib/freebl/seed,4.802,380.395,3.421,3,8
uriloader/prefetch/nsPrefetchService,2.751,202.875,3.421,2,34
netwerk/protocol/device/nsDeviceProtocolHandler,2.702,0.0,3.421,1,20
nsIWebBrowserPrint,2.587,0.0,0.914,0,0
nsprpub/pr/tests/layer,2.587,0.0,3.421,0,20
sys/pstat,2.587,0.0,0.914,0,0
xpcom/tests/TestObserverService,2.587,0.0,3.421,0,14
modules/freetype2/include/freetype/internal/services/svpostnm,2.587,0.0,0.914,0,0
modules/freetype2/src/gxvalid/gxverror,2.846,21.567,3.42,1,3
sys/devpoll,2.587,0.0,0.914,0,0
intl/lwbrk/src/nsRuleBreaker,2.587,0.0,3.421,0,4
chrome/browser/chrome_thread,2.587,0.0,0.914,0,0
nsIDOMXULCheckboxElement,2.587,0.0,0.914,0,0
dom/base/nsIScriptContext,12.685,723.451,3.421,91,5
nsprpub/pr/tests/ipv6,2.587,0.0,3.421,0,23
js/src/assembler/assembler/ARMAssembler,2.587,0.0,3.419,0,2
ipc/chromium/src/base/base_switches,37.083,7101.739,3.42,8,2
js/src/ctypes/libffi/testsuite/libffi.call/nested_struct7,2.587,0.0,3.42,0,4
nsprpub/pr/tests/selct_to,2.587,0.0,3.421,0,19
SimpleGameSound,2.587,0.0,0.914,0,0
extensions/universalchardet/src/base/nsLatin1Prober,3.386,140.423,3.421,2,6
callconv,2.587,0.0,0.914,0,0
etld_data,2.587,0.0,0.914,0,0
modules/freetype2/src/cache/ftccback,4.035,42.35,3.42,7,12
nsIContentPermissionPrompt,2.587,0.0,0.914,0,0
embedding/browser/activex/src/common/CPMozillaControl,3.211,0.0,3.42,4,0
toolkit/crashreporter/google-breakpad/src/client/mac/tests/SimpleStringDictionaryTest,2.587,0.0,0.914,0,0
modules/plugin/sdk/samples/winless/windows/plugin,3.285,0.0,3.42,1,4
ipc/chromium/src/chrome/common/ipc_message_macros,11.408,22882.521,3.42,14,4
js/src/config/gcc_hidden,2.587,0.0,0.914,0,0
nsIUrlClassifierStreamUpdater,2.587,0.0,0.914,0,0
nsIDOMSVGStyleElement,2.587,0.0,0.914,0,0
dom/base/nsDOMWindowUtils,2.687,8359.91,3.421,3,67
ipc/chromium/src/base/message_loop,25.616,122968.194,3.421,79,25
security/nss/lib/ssl/preenc,2.862,1.843,3.42,2,2
xpcom/tests/static-checker/o4,2.587,0.0,3.421,0,1
content/events/public/nsIPrivateTextRange,3.411,103.878,3.421,5,6
content/xslt/src/xpath/txMozillaXPathTreeWalker,4.45,23295.479,3.421,13,29
gfx/cairo/cairo/src/cairo-pdf-surface-private,2.647,0.2,3.42,1,8
mozilla/dom/indexedDB/IDBObjectStore,2.587,0.0,0.914,0,0
xpcom/windbgdlg/windbgdlg,2.587,0.0,0.914,0,0
content/base/src/nsLineBreaker,2.631,0.671,3.421,1,11
nsIIDBVersionChangeEvent,2.587,0.0,0.914,0,0
toolkit/components/url-classifier/src/nsUrlClassifierHashCompleter,2.649,0.0,3.421,1,36
mozIStorageProgressHandler,2.587,0.0,0.914,0,0
modules/freetype2/src/otvalid/otvgsub,3.175,0.0,3.42,2,5
content/xslt/src/xpath/txLiteralExpr,2.587,0.0,3.421,0,10
security/nss/lib/util/nssb64,4.377,6616.858,3.421,18,6
nsprpub/pr/include/private/primpl,310.329,714285.997,3.421,421,27
layout/generic/nsQueryFrame,53.129,12354.085,3.421,137,1
other-licenses/7zstub/src/Common/TextConfig,3.35,102.15,3.42,2,6
storage/src/SQLiteMutex,3.185,195.715,3.421,4,4
content/svg/content/src/nsSVGSVGElement,4.923,177670.769,3.421,22,57
other-licenses/7zstub/src/7zip/Common/StreamBinder,2.896,42.466,3.42,2,14
intl/uconv/ucvlatin/cp866,2.587,0.0,0.914,0,0
content/html/content/src/nsHTMLLabelElement,2.587,0.0,3.421,0,33
intl/uconv/ucvlatin/macgurmukhi,2.587,0.0,0.914,0,0
xpcom/ds/nsCheapSets,2.971,1.693,3.421,3,8
nsITextServicesFilter,2.587,0.0,0.914,0,0
security/nss/cmd/libpkix/pkix/top/test_basicchecker,2.618,3.087,3.42,1,10
AccessibleValue,2.587,0.0,0.914,0,0
