node,page_rank,betweenness,closeness,indegree,outdegree
security/nss/lib/freebl/ecl/tests/ecp_test,2.68,0.0,3.497,0,11
intl/uconv/ucvlatin/nsMacHebrewToUnicode,3.084,0.033,3.499,2,7
xpcom/string/src/nsStringObsolete,3.019,2365.673,3.499,1,23
other-licenses/atk-1.0/atk/atk-enum-types,3.882,0.0,3.498,4,0
nsprpub/pr/src/md/windows/ntinrval,2.68,0.0,3.498,0,2
nsIDOMDocumentType,2.68,0.0,0.951,0,0
nsICommandLine,2.68,0.0,0.951,0,0
intl/uconv/ucvibm/nsCP1131ToUnicode,3.122,0.0,3.499,1,6
intl/uconv/ucvlatin/nsUnicodeToISO88599,3.084,0.033,3.499,2,7
ipc/chromium/src/base/platform_file_win,2.68,0.0,3.497,0,2
mozilla/net/WebSocketChannelParent,2.68,0.0,0.951,0,0
gfx/thebes/gfxPlatform,18.671,689151.755,3.499,74,58
js/src/jsapi-tests/testContexts,2.68,0.0,3.498,0,7
modules/freetype2/src/raster/ftmisc,2.68,0.0,3.497,0,2
nsICrashReporter,2.68,0.0,0.951,0,0
nsIScreenManager,2.68,0.0,0.951,0,0
X11/extensions/renderproto,2.68,0.0,0.951,0,0
layout/base/nsDocumentViewer,2.765,8110.631,3.499,2,84
nsprpub/pr/tests/cleanup,2.68,0.0,3.499,0,12
editor/libeditor/html/nsWSRunObject,2.952,1047.839,3.499,4,18
nsTraceRefCntImpl,2.68,0.0,0.951,0,0
content/svg/content/src/DOMSVGPoint,3.526,731.171,3.499,8,20
tools/reorder/garope,2.68,0.0,3.497,0,4
ipc/chromium/src/chrome/common/pref_member,3.178,614.886,3.498,2,10
nsIFaviconService,2.68,0.0,0.951,0,0
gfx/cairo/cairo/src/cairo-path-fixed,19.441,25267.161,3.498,30,17
modules/freetype2/src/gxvalid/gxvcommn,14.864,11826.931,3.498,23,14
nsIHTMLInlineTableEditor,2.68,0.0,0.951,0,0
modules/zlib/src/adler32,3.488,0.0,3.497,2,5
widget/src/os2/os2FrameWindow,2.872,8.913,3.499,2,19
toolkit/crashreporter/google-breakpad/src/processor/scoped_ptr,13.565,22146.37,3.498,24,1
modules/libpr0n/src/DiscardTracker,6.641,30.578,3.499,5,10
security/nss/lib/libpkix/pkix_pl_nss/system/pkix_pl_error,8.755,188.868,3.498,2,3
gfx/cairo/cairo/src/cairo-d2d-private,2.865,0.0,3.497,2,0
js/src/methodjit/FastArithmetic,2.68,0.0,3.498,0,14
js/src/jsdhash,9.858,25.646,3.498,11,5
gdk/gdkprivate,2.68,0.0,0.951,0,0
googleurl/src/gurl,2.68,0.0,0.951,0,0
nsprpub/pr/tests/atomic,2.68,0.0,3.498,0,7
ipc/ipdl/test/cxx/IPDLUnitTestTypes,2.68,0.0,3.497,0,1
parser/html/jArray,4.893,8.944,3.498,13,1
mozilla/plugins/PluginModuleChild,2.68,0.0,0.951,0,0
nsIDOMPaintRequestList,2.68,0.0,0.951,0,0
toolkit/crashreporter/google-breakpad/src/client/windows/common/ipc_protocol,6.624,4620.167,3.497,6,2
toolkit/components/feeds/nsScriptableUnescapeHTML,2.743,0.0,3.499,1,37
content/svg/content/src/DOMSVGNumber,3.006,381.633,3.499,3,19
modules/freetype2/include/freetype/ftsystem,50.013,1573.048,3.498,105,2
content/base/src/nsDOMFile,2.826,2038.633,3.499,3,46
profile/dirserviceprovider/src/nsProfileLock,3.254,14974.445,3.499,4,23
nsprpub/pr/src/md/beos/bmmap,2.68,0.0,3.499,0,5
xpcom/io/nsLocalFileUnicode,2.806,0.0,3.498,1,1
js/src/jsclist,9.973,1.078,3.498,19,1
usr/include/libintl,2.68,0.0,0.951,0,0
content/base/src/nsScriptElement,2.918,127.951,3.499,3,26
media/libnestegg/src/halloc,6.152,20820.0,3.498,2,5
nsIRDFRemoteDataSource,2.68,0.0,0.951,0,0
modules/freetype2/src/gxvalid/gxvmorx2,3.288,0.0,3.497,2,5
ipc/chromium/src/third_party/libevent/event-config,9.896,0.0,3.497,3,0
js-config,2.68,0.0,0.951,0,0
dbm/src/h_func,3.008,0.0,3.498,1,5
xpcom/reflect/xptcall/src/md/unix/xptcinvoke_linux_s390,2.68,0.0,3.499,0,6
